location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,42.8471,-2.6666565,546.0,3600,Europe/Madrid,GMT+1
1,38.980667,-1.8493042,690.0,3600,Europe/Madrid,GMT+1
2,38.347977,-0.4871521,19.0,3600,Europe/Madrid,GMT+1
3,36.871704,-2.486847,5.0,3600,Europe/Madrid,GMT+1
4,43.33919,-5.7934265,245.0,3600,Europe/Madrid,GMT+1
5,40.667835,-4.716736,1122.0,3600,Europe/Madrid,GMT+1
6,38.84007,-7.0081787,195.0,3600,Europe/Madrid,GMT+1
7,41.441124,2.2014387,28.0,3600,Europe/Madrid,GMT+1
8,42.355007,-3.6950378,858.0,3600,Europe/Madrid,GMT+1
9,39.47276,-6.3485413,442.0,3600,Europe/Madrid,GMT+1
10,36.590508,-6.2434387,25.0,3600,Europe/Madrid,GMT+1
11,43.40949,-3.7781067,12.0,3600,Europe/Madrid,GMT+1
12,39.964848,0.0,45.0,3600,Europe/Madrid,GMT+1
13,38.980667,-3.945221,639.0,3600,Europe/Madrid,GMT+1
14,37.855885,-4.8257446,134.0,3600,Europe/Madrid,GMT+1
15,43.33919,-8.353302,59.0,3600,Europe/Madrid,GMT+1
16,40.03515,-2.1398315,933.0,3600,Europe/Madrid,GMT+1
17,42.003513,2.882096,80.0,3600,Europe/Madrid,GMT+1
18,37.223198,-3.5761719,697.0,3600,Europe/Madrid,GMT+1
19,40.597538,-3.1824646,709.0,3600,Europe/Madrid,GMT+1
20,43.26889,-2.0179443,24.0,3600,Europe/Madrid,GMT+1
21,37.293495,-6.923065,36.0,3600,Europe/Madrid,GMT+1
22,42.14411,-0.39416504,471.0,3600,Europe/Madrid,GMT+1
23,37.785587,-3.7349243,486.0,3600,Europe/Madrid,GMT+1
24,42.565903,-5.566986,841.0,3600,Europe/Madrid,GMT+1
25,41.65202,0.650289,185.0,3600,Europe/Madrid,GMT+1
26,42.987698,-7.622589,469.0,3600,Europe/Madrid,GMT+1
27,40.386642,-3.6760864,666.0,3600,Europe/Madrid,GMT+1
28,36.731106,-4.370056,22.0,3600,Europe/Madrid,GMT+1
29,37.996483,-1.0887146,41.0,3600,Europe/Madrid,GMT+1
30,42.8471,-1.5999756,455.0,3600,Europe/Madrid,GMT+1
31,42.355007,-7.9179077,144.0,3600,Europe/Madrid,GMT+1
32,42.003513,-4.5851746,745.0,3600,Europe/Madrid,GMT+1
33,42.425304,-8.722473,11.0,3600,Europe/Madrid,GMT+1
34,42.495605,-2.3823242,393.0,3600,Europe/Madrid,GMT+1
35,40.94903,-5.640991,821.0,3600,Europe/Madrid,GMT+1
36,40.94903,-4.102539,1023.0,3600,Europe/Madrid,GMT+1
37,37.363796,-5.976074,18.0,3600,Europe/Madrid,GMT+1
38,41.792618,-2.4782715,1069.0,3600,Europe/Madrid,GMT+1
39,41.159927,1.2875535,27.0,3600,Europe/Madrid,GMT+1
40,40.31634,-1.1392517,901.0,3600,Europe/Madrid,GMT+1
41,39.89455,-4.0167236,467.0,3600,Europe/Madrid,GMT+1
42,39.47276,-0.3734436,17.0,3600,Europe/Madrid,GMT+1
43,41.65202,-4.6820984,698.0,3600,Europe/Madrid,GMT+1
44,43.26889,-2.9596558,24.0,3600,Europe/Madrid,GMT+1
45,41.51142,-5.706024,655.0,3600,Europe/Madrid,GMT+1
46,41.65202,-0.9104309,228.0,3600,Europe/Madrid,GMT+1
