location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,38.84007,-1.3524475,894.0,3600,Europe/Madrid,GMT+1
1,39.121265,-1.4835205,726.0,3600,Europe/Madrid,GMT+1
2,38.69947,-2.3296814,1135.0,3600,Europe/Madrid,GMT+1
3,39.613354,-1.7475586,1024.0,3600,Europe/Madrid,GMT+1
4,39.121265,-4.0796814,749.0,3600,Europe/Madrid,GMT+1
5,38.629173,-4.163269,789.0,3600,Europe/Madrid,GMT+1
6,39.613354,-2.1220398,840.0,3600,Europe/Madrid,GMT+1
7,39.964848,-4.2737427,510.0,3600,Europe/Madrid,GMT+1
8,40.03515,-2.8950806,832.0,3600,Europe/Madrid,GMT+1
9,39.824253,-2.256256,915.0,3600,Europe/Madrid,GMT+1
10,40.878735,-2.6884766,1066.0,3600,Europe/Madrid,GMT+1
11,39.050964,-1.8518372,673.0,3600,Europe/Madrid,GMT+1
12,38.980667,-3.3287659,664.0,3600,Europe/Madrid,GMT+1
13,39.121265,-1.4835205,691.0,3600,Europe/Madrid,GMT+1
14,38.980667,-1.6027527,872.0,3600,Europe/Madrid,GMT+1
15,38.76977,-1.105072,878.0,3600,Europe/Madrid,GMT+1
16,39.191563,-1.8569336,666.0,3600,Europe/Madrid,GMT+1
17,39.33216,-3.351715,627.0,3600,Europe/Madrid,GMT+1
18,39.964848,-1.8854675,1129.0,3600,Europe/Madrid,GMT+1
19,40.738136,-3.1914978,694.0,3600,Europe/Madrid,GMT+1
